kernel;gamma;beta;moving mean;moving variance
0;0.9934238;-0.022439804;-0.16805129;0.01465016
1;1.0358624;0.01446145;-0.030687;0.0043122345
2;1.0145364;0.063939124;-0.07985489;0.003177201
3;0.99149;0.0048483573;0.13544306;0.0071431925
4;0.9368679;-0.048247635;0.4603232;0.04755152
5;1.0065848;-0.0018056789;0.015224312;0.0033807568
6;0.946872;-0.03720031;-0.22760224;0.017281597
7;1.0161482;0.010778108;-0.040231586;0.010276998
8;0.9786611;0.0118561825;0.002434699;0.0051886537
9;0.965123;-0.023315044;0.24701118;0.019318968
10;0.9581245;-0.025696402;0.21243887;0.019371009
11;1.0274479;0.05018541;-0.037625805;0.0029527608
12;0.9709981;-0.028277472;-0.06907932;0.0041734874
13;0.9436096;-0.06580945;0.09970047;0.004369444
14;1.0551353;0.08914776;-0.047051612;0.0068816436
15;0.94259816;-0.030005526;0.085092865;0.008279622
16;0.9838129;0.0028155283;0.044734504;0.0047283727
17;0.9902106;0.016096905;0.052294493;0.0052881246
18;0.9939644;0.019724827;0.046161823;0.005933851
19;1.0585874;0.03397637;-0.07071649;0.0035194037
20;0.99395233;0.0016359618;-0.007959315;0.003792364
21;0.99718124;-0.016018437;-0.06838568;0.007313944
22;1.0144882;0.04246849;0.029669052;0.00379501
23;0.97117525;0.036259353;0.0027143245;0.008530334
24;1.1971021;0.15661117;-0.028429342;0.004477265
25;0.952932;-0.059603598;-0.3317818;0.03127497
26;0.9953248;-0.005202724;0.07393122;0.0061081
27;0.97109854;-0.0059199166;-0.2248514;0.026950546
28;0.99337643;-0.040992714;-0.06715218;0.004430212
29;1.0461192;-0.053898115;-0.005264217;0.003047222
30;1.0325445;0.04667663;-0.094536245;0.010242767
31;1.0419616;0.07371021;-0.060824737;0.0052130613
