kernel;gamma;beta;moving mean;moving variance
0;1.0275156;-0.76250416;-2.6029563;11.490954
1;0.9045677;-0.2762874;0.5517081;20.28937
2;0.9333348;-0.39940596;-2.2112412;28.127115
3;0.86230105;-0.6340654;-2.8182385;7.0347495
4;0.9001866;-0.3958804;-2.16214;19.468824
5;1.0029494;-0.56146353;-2.2692928;11.19527
6;0.97103024;-0.5222497;-2.7708373;11.043417
7;0.7784196;-0.2849272;-2.9221463;17.242445
8;0.85715544;-0.5152664;-4.9479423;12.69145
9;0.9495484;-0.5264564;-2.3663154;17.681026
10;1.0795392;-0.45385373;-1.2729112;24.61951
11;0.9559092;-0.58082145;-1.2633302;5.9112754
12;0.8441231;-0.30367687;-1.8431311;16.030725
13;1.0028265;-0.4913071;-3.6721663;17.494465
14;0.94830257;-0.43858528;-1.2042629;21.11125
15;0.90365994;-0.5138706;-4.6600375;20.448565
16;0.9169385;-0.45115066;3.4481673;17.472486
17;0.983766;-0.42123473;-1.7681959;28.067606
18;0.95549715;-0.5892836;-0.54352486;15.240187
19;1.1525147;-0.46381417;-2.318183;28.044458
20;1.0276186;-0.6803813;-3.6747468;10.514068
21;1.0645583;-0.4938102;-1.7862109;13.841531
22;1.02353;-0.5019396;-0.96569645;8.450268
23;1.1160734;-0.6874599;-2.8159628;8.471239
24;1.0460927;-0.35739484;0.51010555;9.018968
25;1.0125142;-0.56674784;-3.7725196;20.582058
26;0.999451;-0.55473554;-4.662386;16.645765
27;0.88062686;-0.50286466;0.54106843;18.74186
28;0.9773218;-0.3355581;-4.676967;14.039926
29;0.8482416;-0.5584665;-2.8955;6.796195
30;0.8656486;-0.60924083;-1.4833976;8.202534
31;1.0840046;-0.5665194;-0.8333278;12.803918
