kernel;bias;d0_w00;d0_w01;d0_w02;d0_w10;d0_w11;d0_w12;d0_w20;d0_w21;d0_w22;d1_w00;d1_w01;d1_w02;d1_w10;d1_w11;d1_w12;d1_w20;d1_w21;d1_w22;d2_w00;d2_w01;d2_w02;d2_w10;d2_w11;d2_w12;d2_w20;d2_w21;d2_w22
0;-0.000339014;-0.10678794;0.041985616;-0.0697314;0.06085751;-0.10176279;0.12016698;-0.008612278;0.12137445;-0.043798737;-0.051595215;-0.0062999353;-0.06706421;-0.15828505;-0.106775075;-0.069221094;0.07225458;0.069906205;0.060404893;-0.06953903;-0.05571302;-0.0494795;-0.12598675;0.09589342;-0.05101643;-0.101506315;0.11931715;0.12522307
1;-0.011998573;-0.0045021735;0.1315335;0.13950108;0.020079076;0.027044386;-0.10568523;-0.07697518;0.11710544;0.14064564;0.036285337;-0.09321518;0.012298355;-0.13331042;0.036396265;-0.13146123;-0.1035021;-0.115082845;0.09716944;0.1027457;0.053379316;-0.020691618;0.058770053;-0.03936701;-0.053808752;0.02763846;-0.033632856;-0.10376851
2;-0.07297372;-0.10235765;0.053932145;-0.14704008;0.10196276;0.102294035;0.021485858;0.13389294;-0.021761555;-0.005339386;-0.062956594;0.09712126;0.11932574;0.11679133;-0.16937737;0.09370636;0.0105117615;-0.14550953;0.058360472;0.07370248;-0.054391216;-0.040417966;-0.09890349;-0.07886037;-0.032014206;-0.07312086;-0.0036357457;-0.057286777
3;-0.00045683482;-0.04301652;-0.056265954;-0.093452275;0.159862;0.092196934;0.08214733;0.06653763;0.038555503;-0.10223588;0.08097502;0.09510228;0.08594196;0.17164987;-0.028787104;-0.046554286;-0.099853575;-0.053186495;0.03903439;-0.13856904;-0.005808155;-0.10600497;0.00066667085;0.061292347;0.034676623;0.015093151;0.11074996;-0.08960215
4;0.027103892;0.15751572;-0.010984908;0.05596798;0.12372761;-0.036724586;-0.03610193;-0.016934967;0.014481268;0.07740477;0.08990212;0.1379296;-0.0027757217;0.14716603;0.11744969;0.05157751;0.07301599;0.052573968;-0.0050591743;0.10539653;0.011546887;-0.08711042;0.023376185;0.06668189;0.00950701;0.0015878495;-0.1489319;-0.0367654
5;-0.043962367;0.16371062;0.020000828;0.03224968;-0.052831624;0.086392134;0.06691465;0.003990634;-0.11963581;-0.041336194;-0.03025188;-0.01756656;0.01236914;0.06349304;-0.10950892;0.04440865;0.031853426;-0.022686688;0.06952577;0.06923111;-0.13547854;-0.112718225;0.009788531;-0.05146213;-0.14774609;0.10351261;0.096665114;0.11378963
6;0.048408374;0.055392154;-0.068530664;0.070821516;-0.09314478;-0.106923565;-0.115208514;0.0013876483;-0.099438764;0.06051776;0.1432368;0.00545154;-0.025879238;-0.11553066;0.12226761;-0.14534198;-0.089382544;-0.12748592;-0.07099246;-0.08415266;0.023267528;0.006695523;-0.011469241;0.009269074;-0.118448846;0.07476389;0.10970744;0.058876395
7;0.0030481177;-0.10262154;0.11827054;-0.09549724;0.05618114;0.089955226;-0.12046303;-0.08818072;0.14784776;0.13316035;-0.078081496;-0.06005771;-0.011934752;-0.015597594;-0.11794771;-0.05081078;-0.023730429;0.11074353;0.066998065;-0.094488196;-0.043805454;-0.059790637;-0.028917726;0.0201963;-0.09294232;0.10363542;0.10259069;0.018142158
8;-0.032434292;0.12740514;-0.03589715;0.024628244;0.066610835;-0.01373381;-0.09662408;0.041506235;0.10633455;-0.014909707;0.13856782;0.08618062;-0.05552666;0.11232161;0.07528801;-0.04828994;-0.080039084;-0.091830865;-0.05923896;-0.1244964;-0.13035938;-0.12866408;0.07897965;-0.11515858;0.066624545;-0.03159913;-0.024185622;0.0909915
9;0.014597344;0.04716193;0.08158847;0.118225604;0.08499682;-0.00060282054;-0.12009956;-0.043953665;0.08774723;-0.052013244;0.042427763;0.06731523;0.100265905;-0.13909467;-0.048675105;-0.056102153;0.06110041;-0.0084413;0.0033287092;0.053401925;0.10193201;0.12775311;-0.0066892174;-0.08010966;-0.09572683;-0.029388057;0.00088061736;0.03533775
