kernel;bias;d0_w00;d0_w01;d0_w02;d0_w10;d0_w11;d0_w12;d0_w20;d0_w21;d0_w22;d1_w00;d1_w01;d1_w02;d1_w10;d1_w11;d1_w12;d1_w20;d1_w21;d1_w22;d2_w00;d2_w01;d2_w02;d2_w10;d2_w11;d2_w12;d2_w20;d2_w21;d2_w22
0;-0.03917812;-0.13874857;-0.10809691;0.020834245;-0.20485844;-0.42028338;0.17854728;0.27097896;0.43346983;0.285431;0.0019739498;-0.12210436;-0.005771079;-0.53308845;-0.47435272;-0.046051867;0.23722397;0.3484298;0.38679248;-0.12066481;-0.11516959;0.09108882;-0.49471357;-0.13806301;0.10668356;-0.012412225;0.35669467;0.45810384
1;-0.046388343;0.19944553;0.5250399;0.24311116;0.12158964;0.37917963;0.066208124;-0.075593874;0.36979046;0.36820436;0.006519528;-0.22415392;-0.1767314;-0.50578934;-0.4770705;-0.45119494;-0.22073603;-0.3521489;0.105811134;0.33631933;0.25237933;0.06316851;0.04732997;-0.14423044;-0.17338386;0.025144625;-0.09546513;-0.14812766
2;0.15700746;-0.4034388;-0.24112844;-0.4711117;0.4920298;0.36336246;-0.2018595;0.47199553;0.1905864;-0.09346688;-0.0669648;0.21467392;0.37611797;-0.07122222;-0.3341522;0.23139887;-0.26143187;-0.46251068;0.24553365;0.31922632;0.14597122;0.08138164;-0.18952031;-0.18349625;-0.062319703;-0.11120291;-0.13484254;0.12889074
3;0.048575085;-0.22423592;-0.026764048;-0.21857612;0.21932434;0.84699064;0.1523204;-0.025206639;0.48707613;0.09112441;0.043117672;0.2513325;-0.015887091;0.34062025;0.6748984;-0.11099685;-0.37124944;0.0927652;-0.06545387;-0.2847738;-0.09445709;-0.42245364;0.026690353;0.33209914;-0.17486602;-0.14368111;0.15456323;-0.20195593
4;-0.06849173;0.047459524;-0.21875921;-0.12796806;0.48117664;0.0047831577;-0.17798387;0.07926529;-0.19807398;-0.23162417;0.13091528;0.08867926;-0.1028744;0.7224501;0.32946303;-0.02014907;0.24687248;-0.10382757;-0.31116587;0.2988028;-0.0034557788;-0.24857377;0.39009532;-0.019940969;-0.3580853;0.13299511;-0.42555514;-0.39621377
5;-0.20742114;0.15040699;-0.1542797;0.047994487;-0.1065607;-0.13097072;-0.03315297;0.13357145;0.106212914;0.14094064;0.029884756;-0.23889807;-0.0713885;0.06772883;-0.41621467;-0.21743265;0.28291562;0.20880152;0.1620843;0.07110195;-0.48888913;-0.34460402;0.14503399;-0.32465276;-0.42193824;0.6178774;0.48813245;0.36444658
6;-0.0012931541;0.20352437;-0.028839512;0.03620516;-0.732233;-0.6844513;0.031705417;0.013259306;-0.2303823;0.4401376;0.04458779;-0.09153379;-0.036318548;-0.776502;-0.406767;0.075699665;-0.38271987;-0.48336098;0.26156414;0.34171858;0.3546817;0.18047708;0.011190736;-0.07312397;0.098981954;-0.058417603;-0.17604609;0.21186887
7;-0.005603492;-0.25755292;-0.14444764;-0.16836396;-0.323739;-0.18217853;-0.34910464;0.122869015;0.704339;0.5121351;-0.08072221;-0.14604917;0.034864362;-0.3220973;-0.33544526;-0.31215012;0.0868921;0.49769753;0.18572225;0.065146446;0.07912475;0.11947548;-0.14188135;0.0007662807;-0.22807252;0.1882455;0.3731172;-0.04489256
8;-0.0018315975;0.22822773;0.00577186;0.079749726;0.21153073;-0.014677907;-0.1451138;-0.04337084;0.11196924;0.032698445;0.121235184;-0.30531773;-0.48916405;0.19403704;-0.22581139;-0.3953136;0.031643137;-0.048989106;0.024687773;-0.29011217;-0.8710282;-0.7712487;-0.004001084;-0.64996505;-0.3124151;0.23041904;0.18570364;0.45654032
9;-0.0037015926;-0.30481136;0.049207922;-0.121289045;-0.082352765;0.042160116;-0.13821365;-0.11812388;-0.12157226;-0.2770226;0.13788529;1.1187203;0.5958665;0.17774643;0.8338383;0.60673386;0.32318026;0.041515313;0.05960956;-0.2686683;-0.04603507;-0.11023244;-0.17368892;-0.18148746;-0.14975919;-0.007881605;-0.22545898;-0.11065059
